nominativo,regione,sesso,città_nascita,lat,lon,scheda,link,id
Vittorio Canali,Emilia Romagna,M,Salsomaggiore (PR),44.81561,9.97906,"Vittorio Canali Nato a Salsomaggiore (PR) nel 1925 Nome di battaglia “Toio” 51ª Brigata Garibaldi “Caio”, 31ª Brigata Garibaldi “Forni” L’intervista è stata realizzata nel 2010 da Francesca Maria Ampollini",https://www.noipartigiani.it/canali/,1076454793
Mario Barbieri,Emilia Romagna,M,Salsomaggiore (PR),44.81561,9.97906,"Mario Barbieri Nato a Salsomaggiore (PR) il 27 dicembre 1924 Nome di battaglia “Tarquinio” Vice comandante Distaccamento “Flli Vignali”, 31ª Brigata Garibaldi “Forni” Archivi Anpi Salsomaggiore – L’intervista è stata realizzata da Francesca Maria Ampollini nel 2010",https://www.noipartigiani.it/barbieri-2/,1076454594
Renato Andioni,Emilia Romagna,M,Salsomaggiore (PR),44.81561,9.97906,Renato Andioni Nato a Salsomaggiore (PR) il 18 dicembre 1927 Nome di battaglia “Leo” 31ª Brigata Garibaldi “Forni” L’intervista è stata realizzata da Francesca Maria Ampollini nel 2010,https://www.noipartigiani.it/andioni/,1076454476
Dina Braglia,Emilia Romagna,F,Bagno (RE),44.66635,10.74235,"Dina Braglia Nata a Bagno, Reggio Emilia il 18 dicembre 1925 Nome di battaglia “Vetra” Staffetta 76ª Brigata Sap L’intervista è stata realizzata nel marzo 2025",https://www.noipartigiani.it/braglia/,1076454365
Amedeo Pecci,Marche,M,Ponte Grimano (PU),43.8647,12.38318,Amedeo Pecci Nato a Ponte Grimano (PU) il 30 gennaio 1928 Nome di battaglia “Walter” Formazione 219 Longhi L’intervista è stata realizzata dall’associazione “Radici con le ali”,https://www.noipartigiani.it/pecci_amedeo/,1075969861
Ermanno Gorrieri,Emilia Romagna,M,Magreta (MO),44.60416,10.81498,"Ermanno Gorrieri Nato a Magreta (MO) il 26 novembre 1920, studente Nome di battaglia “Claudio” Comandante della “Brigata Italia” con cui partecipò alla creazione della Repubblica partigiana di Montefiorino, nata nel giugno del 1944 e che durò 45 giorni Nel dopoguerra Gorrieri fu deputato e ministro e contribuì a fondare il sindacato Cisl Sull ‘esperienza partigiana ha scritto il libro “La repubblica di Montefiorino. Per una storia della Resistenza in Emilia” e con Giulia Bondi ” Ritorno a Montefiorino. Dalla Resistenza sull’Appenino alla violenza del dopoguerra L’intervista è stata realizzata nel 1993",Non trovato nel Foglio3,#N/A
Armando Groppi,Emilia Romagna,M,Alseno (PC),44.89886,9.96541,"Armando Groppi Nato ad Alseno (PC) il 16 dicembre 1921, manovale Nome di battaglia “Cincillà” Distaccamento “Bacco”, Distaccamento “Bottoni”, Distaccamento “Lindori Peracchi”, 31ª Brigata Garibaldi “Forni” L’intervista è stata realizzata da Francesca Maria Ampoliini nel 2010",https://www.noipartigiani.it/groppi/,1075690976
Arnaldo Favalesi,Emilia Romagna,M,Salsomaggiore (PR),44.81561,9.97906,"Arnaldo Favalesi Nato a Salsomaggiore (PR) il 10 maggio 1925 Nome di battaglia “Nani” Distaccamento “Germoni” , 31ª Brigata Garibaldi “Forni” L’intervista è stata realizzata nel 2021 da Patrizia Mainardi",https://www.noipartigiani.it/favalesi/,1076022277
Domenico Borgna,Piemonte,M,Cavour (TO),44.78652,7.37503,"Domenico Borgna Nato a Cavour (TO) il 4 ottobre 1920, studente Nome di battaglia “Nico” Comandante di distaccamento 4ª Brigata Garibaldi L’intervista è stata realizzata da Francesco Perrone nel novembre 2009",https://www.noipartigiani.it/borgna_domenico/,1074657778
Bianca Maria Colombo,Lombardia,F,Milano,45.46419,9.18963,"Bianca Maria Colombo Nata a Milano il 28 febbraio 1930 Ha collaborato con il padre Domenico che, da podestà di alcuni paesini del Verbano, faceva il doppio gioco aiutando i partigiani della Brigata Valtoce L’intervista è stata realizzata da Paolo De Toni",Non trovato nel Foglio3,#N/A
Adolfo Croccolo,Liguria,M,La Spezia,44.10427,9.82319,"Adolfo Aharon Croccolo Nato a La Spezia il 18 maggio 1921, tecnico in un’azienda elettrica Il padre Ugo svolge attività clandestina in collegamento con il CLN, Adolfo arrestato nel marzo 1945 fugge con uno stratagemma Dopo la guerra partecipa all’Operazione Exodus che, con le navi Fede e Fenice, porterà al rimpatrio di 1400 ebrei in Palestina L’intervista è stata realizzata nel settembre 2008",https://www.noipartigiani.it/croccolo-k/,1075565474
Cesare Buldrini,Emilia Romagna,M,Anzola dell'Emilia (BO),44.54714,11.19655,"Cesare Buldrini Nato ad Anzola dell’Emilia il 26 febbraio 1923 Nome di battaglia “Buti” 7ª Gap Gianni Catturato per la delazione di una spia, fu deportato a Mauthausen L’intervista è stata realizzata nel 2002",https://www.noipartigiani.it/buldrini-copia-01/,1075565327
Fernando Musolesi,Emilia Romagna,M,Monzuno (BO),44.27962,11.26788,"Fernando Musolesi Nato a Monzuno (BO) l’8 agosto 1926 Ha svolto attività di sostegno alla brigata “Stella Rossa” comandata da Mario Musolesi “Lupo” L’8 agosto 1944, il fratello Giovanni, partigiano, dormiva nella casa di famiglia. Circondata per una spiata dei fascisti locali, fu minata e fatta saltare in aria. Fernando viene portato con i fratelli e le sorelle in prigione. I fratelli Gino, Giovanni, Pietro vengono fucilati. Un altro fratello partigiano, Ubaldo venne catturato e impiccato il 10 ottobre 1944. le sorelle, deportate, si sono salvate L’intervista è stata realizzata da Vittoria Comellini nel maggio 2009",https://www.noipartigiani.it/musolesi/,1058506556
Bruno Veniani,Piemonte,M,Intra (VB),45.93755,8.57211,"Bruno Veniani Nato a Intra (VB) nel 1934 Qui racconta la storia del nonno Maurizio Mascoli ucciso dai fascisti nel 1922, del fratello Maurizio Veniani, partigiano nella Brigata Valgrande. Fa anche riferimento all’eccidio di Fondotoce dove, il 20 giugno 1944, furono fucilati 43 partigiani. L’intervista è stata realizzata nel gennaio 2017 da Paolo De Toni",https://www.noipartigiani.it/veniani/,1070266463
Giacomo Scarafiotti,Piemonte,M,Torino,45.06775,7.68249,Giacomo Scarafiotti Nato a Torino il 27 agosto 1923 Nome di battaglia “Tamagno” Capo Squadra 105ª Brigata Garibaldi L’intervista è stata realizzata da Francesco Perrone nell’aprile 2003,https://www.noipartigiani.it/scarafiotti/,1070266267
Felice Burdino,Piemonte,M,Cumiana (TO),44.98144,7.37537,"Felice Burdino Nato a Cumiana (TO) il 22 settembre 1917, laurea in Lettere Nome di battaglia “Franco Balestrieri” Comandante di distaccamento 4ª Brigata, 1ª Divisione Garibaldi Vice comandante 105ª Brigata Garibaldi Arruolato dal comandante Pompeo Colajanni “Barbato” insieme con il fratello Eraldo, con la sua squadra guidò anche l’assalto all’eroporto di Murello dove, il 2 dicembre 1943, vennero incendiati 32 aerei tedeschi. Sulla sua storia Felice Burdino ha scritto il libro “Diario partigiano” L’intervista è stata realizzata da Francesco Perrone nel novembre 2002",https://www.noipartigiani.it/burdino/,1070265490
Adelmo Franceschini,Emilia Romagna,M,Sala Bolognese (BO),44.61962,11.27218,"Adelmo Franceschini Nato a Sala Bolognese (BO) l’11 settembre 1924, contadino IMI Internato Militare Italiano Catturato dopo l’8 settembre, fu deportato in Germania , Stalag IIIC di Alt Drewitz, sottocampo di Basdorf. L’intervista è stata realizzata nel 2002",https://www.noipartigiani.it/franceschini/,1070265077
Dino Ferrarini,Emilia Romagna,M,Mantova,45.15668,10.79158,"Dino Ferrarini Nato a Mantova il 26 dicembre 1926 Nome di battaglia “Balilla” Ha partecipato alla Resistenza in Piemonte in varie formazioni: 105ª Brigata Pisacane, 5ª Divisione Giustizia e Libertà, 105ª Brigata Garibaldi L’intervista è stata realizzata da Francesco Perrone nel novembre 2004",https://www.noipartigiani.it/ferrarini/,1070264799
Pierino Luvio,Piemonte,M,Canelli (AT),44.72147,8.28681,"Pierino Luvio Nato a Canelli (CN) il 12 marzo 1924 IMI Internato Militare Italiano Catturato a Pola, in Iugoslavia, fu deportato a Fürstenberg, in Germania e poi a Guben Risucì ad evadere l’11 febbraio 1945 e arrivò a Canelli il 17 aprile L’intervista è stata realizzata da Federica Parone e Gianna Menabreaz nel 2006",https://www.noipartigiani.it/luvio/,1070264699
Vincenzo Russo,Liguria,M,Genova,44.40726,8.93386,"Vincenzo Russo Nato a Sestri Ponente (GE) il 7 gennaio 1923, operaio Operaio della fabbrica San Giorgio Fu deportato a Mauthausen il 16 giugno 1944 quando i nazisti rastrellarono 1500 operai nelle fabbriche genovesi in seguito agli scioperi. È la più grande operazione di deportazione operaia effettuata dai nazisti durante il conflitto L’intervista è stata realizzata dall’associazione “Radici con le ali” nel 2000",https://www.noipartigiani.it/russo/,1070266129
Lina Rossi,Liguria,F,Genova,44.40726,8.93386,Lina Rossi Nata a Sestri Ponente (GE) l’8 aprile 1928 Nome di battaglia “Piera” Distaccamento “Alice Noli” L’intervista è stata realizzata dall’associazione “Radici con le ali” nel 2000,https://www.noipartigiani.it/rossi_lina-2/,1066993839
Nunzio Di Francesco,Sicilia/Piemonte,M,Linguaglossa (CT),37.84279,15.14187,Nunzio Di Francesco Nato a Linguaglossa (CT) il 3 febbraio 1924 Nome di battaglia “Athos” 105ª Brigata Garibaldi Deportato nel lager di Mauthausen L’intervista è stata realizzata da Francesco Perrone nel luglio del 2002,https://www.noipartigiani.it/di-francesco/,1069961514
Pietro Giachero,Piemonte,M,Luserna S. G. (TO),44.82136,7.24716,"Pietro Giachero Nato a Luserna San Giovanni (TO) il 3 aprile 1926, studente Nome di battaglia “Piero” 5ª Divisione Giustizia e Libertà, 105ª Brigata Garibaldi L’intervista è stata realizzata da Francesco Perrone nel novembre del 2004",https://www.noipartigiani.it/giachero_pietro/,1070014306
Piero Baravaglio,Piemonte,M,Domodossola (VB),46.11545,8.29177,"Piero Baravaglio Nato a Domodosssola (VB) il 9 luglio 1922, muratore Nome di battaglia “Lupo” 106ª Brigata Garibaldi Comandante di distaccamento L’intervista è stata realizzata da Francesco Perrone ad aprile 2003",https://www.noipartigiani.it/baravaglio/,1069909606
Licinio Savi,Emilia Romagna,M,Fidenza (PR),44.86591,10.06109,"Licinio Savi Nato a Fidenza (PR) il 4 settembre 1921, falegname Nome di battaglia “Veloce” Distaccamento “Peracchi e Lindori”, 31ª Brigata Garibaldi “Forni” L’intervista è stata realizzata da Francesca Maria Ampollini nel 2010",https://www.noipartigiani.it/savi_licinio/,1074296648
Renato Ferrari,Emilia Romagna,M,Salsomaggiore (PR),44.81561,9.97906,"Renato Ferrari Nato a Salsomaggiore (PR) il 18 novembre 1921, autista Nome di battaglia “Frisén” Distaccamento “Fratelli Vignali”, 31ª Brigata Garibaldi Racconta il combattimento di Pietra Nera del 12 ottobre 1944 in cui furono uccisi 7 fascisti e il partigiano Adriano Biolzi “Kira” L’intervista è stata realizzata da Francesca Maria Ampollini nel 2010",https://www.noipartigiani.it/ferrari_renato/,1074304343
Aldo Galelli,Lombardia,M,Gussago (BS),45.59479,10.15392,"Aldo Galelli Nato a Cussago (BS) il 19 novembre 1925 Nome di battaglia “Stelvio” Brigata Pinan Cichero che operava sull’appenino ligure Alpino, faceva parte del battaglione “Vestone” della Divisione Monterosa che nel novembre del 1944 passò quasi interamente nelle file partigiane. L’intervista è stata realizzata nel 2011 da Carlo Gianuzzi per Commissione Scuola ANPI “Dolores Abbiati” di Brescia",https://www.noipartigiani.it/galelli_aldo/,1071771542
Itala Martini,Liguria,F,Rossiglione (GE),44.56201,8.67232,"Itala Martini Nata a Rossiglione (GE) il 25 giugno 1938 Qui ricorda gli avvenimenti del 2 gennaio 1945 quando il paese fu incendiato dai tedeschi in seguito allo scontro di Lagoscuro che, tre giorni prima, aveva portato alla morte dei partigiani Giovanni Battista Olivieri “Pirata”, Tommaso Cartagenova “Sten”, Enrico Mezzani “Mario l’alpino”. Nella rappresaglia sul paese morirono sei persone: Antonia Carlotta Cappelletto, Camillo Odone, Ernesto Firpo, Carlo Michele Puppo, Bernardo Peri, Gian Battista Pignone. L’intevista è stata realizzata nel marzo 2025",https://www.noipartigiani.it/martini_itala/,1071823009
Luigi Saccò,Emilia Romagna,M,Salsomaggiore (PR),44.81561,9.97906,"Luigi Saccò Nato a San Vittore di Salsomaggiore (PR) il 6 aprile 1925, giardiniere Nome di battaglia “Nettuno” Distaccamento Fratelli Vignali, 31ª Brigata Garibaldi Croce di guerra al valor militare L’intervista è stata realizzata da Francesca Maria Ampollini nel 2010",https://www.noipartigiani.it/sacco/,1073630052
Aldo Pilone,Piemonte,M,San Mauro (TO),45.10398,7.76813,"Aldo Pilone Nato a San Mauro (TO) il 18 luglio 1925 Nome di battaglia “Camoscio” 4ª Brigata Garibaldi, 105ª Brigata Garibaldi L’intervista è stata realizzata da Francesco Perrone nell’aprile 2003",https://www.noipartigiani.it/pilone_aldo/,1068143437
Mario Allochis,Piemonte,M,Cavour (TO),44.78652,7.37503,"Mario Allochis Nato a Cavour (TO) il 22 agosto 1921 5ª Divisione Garibaldi Catturato, fu deportato nel lager di Kahla, in Germania. L’intervista è stata realizzata da Francesco Perrone",https://www.noipartigiani.it/allochis_mario/,1071828694
Agostina Bertolotto,Liguria,F,Camogli (GE),44.34861,9.15509,"Agostina Bertolotto Nata a Camogli (GE) l’11 marzo 1925 Nome di battaglia “Titti” Partigiana Combattente , Brigata Giustizia e Libertà Matteotti. Il marito Ivo Manuelli, nato a Recco nel 1923, era partigiano nella stessa brigata L’intervista è stata realizzata nell’aprile 2025",https://www.noipartigiani.it/bertolotto_agostina/,1072544744
Giancarlo Margioni,Lazio,M,Civitavecchia (RM),42.09117,11.79632,"Giancarlo Margioni Nato a Civitavecchia (Roma) nel 1936 Racconta la storia del padre Antonio, nato il 19 dicembre 1900, arrestato mentre svolgeva attività clandestina per il CLN e ucciso il 24 marzo 1944 alle Fosse Ardeatine dove vennero trucidati 335 prigionieri politici. L’intervista è stata realizzata nel 2022",https://www.noipartigiani.it/margioni/,1072597071
Maria Carle,Piemonte,F,Barge (CN),44.72621,7.3223,"Maria Carle Nata a Barge (CN), impiegata Racconta gli inizi dell’attività partigiana nel paese, l’incontro con il comandante Pompeo Colajanni “Barbato”, l’incendio della sua casa da parte dei tedeschi. Il marito Piero Gacoletti “Gabiola” faceva parte della 4ª Brigata Garibaldi Nell’intervista fa riferimento alla morte di Costanzo Carle “Topolino” impiccato il 12 luglio 1944 L’intervista è stata realizzata da Francesco Perrone nel 2002",https://www.noipartigiani.it/carle_maria/,1069539027
Antonio Giolitti,Lazio,M,Roma,41.89332,12.48293,"Antonio Giolitti Nato a Roma il 12 febbraio 1915, avvocato Nome di battaglia “Paolo” Commissario politico nel comando VIIª Zona e 1ª Divisione Garibaldi Dopo la guerra fu più volte ministro L’intervista è stata realizzata da Francesco Perrone nell’agosto 2004",https://www.noipartigiani.it/giolitti_antonio/,1069298763
Vincenzo Grimaldi,Sicilia,M,Caltagirone (CT),37.23412,14.51239,"Vincenzo Grimaldi Nato a Caltagirone (CT) il 21 maggio 1922 Nome di battaglia “Bellini” Vicecomandante di brigata Battaglione Pisacane, 15ª Brigata Garibaldi, 181ª Brigata Garibaldi Sulla sua vita partigiana, Vincenzo Grimaldi ha scritto il libro “Tutti pazzi o tutti eroi” L’intervista è stata realizzata da Francesco Perrone nel 2002",https://www.noipartigiani.it/grimaldi/,1070293259
Angelo Travaglia,Veneto,M,Piove di Sacco (PD),45.29742,12.03603,"Angelo Travaglia Nato a Piove di sacco (PD) il 27 agosto 1923, impiegato Battaglione Patria, 5ª Brigata Osoppo in Friuli Catturato, nel gennaio del 1945 viene inviato nel campo di concentramento di Flossenburg in Germania L’intevista è stata realizzata nel settembre 1996 da Paolo Stacchini che ha scritto anche il libro “Un Uomo. Angelo Travaglia”",https://www.noipartigiani.it/travaglia_angelo/,1067286031
Pietro Rosso,Piemonte,M,Canelli (AT),44.72147,8.28681,"Pietro Rosso Nato a Canelli (CN) il primo novembre 1915 Disertore, catturato il 2 dicembre 1944, venne internato nel lager di Bolzano L’intervista è stata realizzata da Giuseppe De Paolini e Gian Carlo Sacrrone nel 2011",https://www.noipartigiani.it/rosso_pietro/,1064392481
Nella Galavotti,Lombardia,F,Quistello (MN),44.9912,10.97931,"Nella Galavotti Nata a Quistello (MN) il 22 gennaio 1924, operaia Nome di battaglia “Nelly” Divisione Valgrande Nell’intervista fa riferimento all’eccidio di Fondotoce del 20 giugno 1944 quando furono fucilati 43 partigiani (uno di loro, Carlo Suzzi, si salvò e tornò in montagna con il nome di battaglia di “Quarantre”) L’intervista è stata realizzata da Paolo De Toni nell’ottobre del 2011",https://www.noipartigiani.it/galavotti-2/,1064401125
